frame_number,activity
0,2205
0,3141
1,tensor(3.9209)
1,tensor(2.7195)
2,tensor(5.5459)
2,tensor(2.5798)
3,tensor(5.0123)
3,tensor(2.4783)
4,tensor(6.2452)
4,tensor(1.5104)
5,tensor(4.6602)
5,tensor(1.5514)
6,tensor(5.1731)
6,tensor(1.9845)
7,tensor(4.4837)
7,tensor(2.5696)
8,tensor(5.2189)
8,tensor(2.3430)
9,tensor(5.6208)
9,tensor(2.2871)
10,tensor(5.0720)
10,tensor(1.3600)
11,tensor(2.5496)
11,tensor(1.4252)
12,tensor(6.0126)
12,tensor(2.4340)
13,tensor(2.1031)
13,tensor(3.1355)
14,tensor(4.4568)
14,tensor(2.7511)
15,tensor(4.7628)
15,tensor(2.6484)
16,tensor(2.1580)
16,tensor(2.8723)
17,tensor(4.0449)
17,tensor(2.8556)
18,tensor(4.1931)
18,tensor(2.4347)
19,tensor(2.7740)
19,tensor(2.2867)
20,tensor(2.9247)
20,tensor(1.7252)
21,tensor(4.4442)
21,tensor(1.7281)
22,tensor(2.9706)
22,tensor(1.9678)
23,tensor(2.9602)
23,tensor(2.2094)
24,tensor(3.1946)
24,tensor(2.2808)
25,tensor(2.7362)
25,tensor(2.0452)
26,tensor(3.6325)
26,tensor(1.1983)
27,tensor(3.2299)
27,tensor(3.0326)
28,tensor(3.4952)
28,tensor(3.2641)
29,tensor(3.6330)
29,tensor(2.9767)
30,tensor(3.0201)
30,tensor(2.5555)
31,tensor(2.8801)
31,tensor(3.6447)
32,tensor(2.4673)
32,tensor(1.7500)
33,tensor(2.1789)
33,tensor(1.7567)
34,tensor(1.1739)
34,tensor(1.8698)
35,tensor(1.1406)
35,tensor(1.6240)
36,tensor(1.2220)
36,tensor(1.9797)
37,tensor(2.4848)
37,tensor(1.7782)
38,tensor(2.1571)
38,tensor(2.7926)
39,tensor(2.1384)
39,tensor(2.0615)
40,tensor(2.4557)
40,tensor(1.5572)
41,tensor(2.1635)
41,tensor(2.5500)
42,tensor(3.0414)
42,tensor(1.2477)
43,tensor(2.7262)
43,tensor(3.2357)
44,tensor(2.4475)
44,tensor(2.7289)
45,tensor(3.0540)
45,tensor(1.7648)
46,tensor(2.7714)
46,tensor(1.9435)
47,tensor(2.6700)
47,tensor(1.1499)
48,tensor(3.4989)
48,tensor(2.5399)
49,tensor(1.7217)
49,tensor(2.7188)
50,tensor(2.9641)
50,tensor(1.7763)
51,tensor(2.6491)
51,tensor(1.7657)
52,tensor(1.2208)
52,tensor(1.7459)
53,tensor(0.7602)
53,tensor(1.5015)
54,tensor(3.0181)
54,tensor(2.1839)
55,tensor(5.7954)
55,tensor(2.8012)
56,tensor(2.1544)
56,tensor(3.0020)
57,tensor(2.9703)
57,tensor(2.7199)
58,tensor(2.7951)
58,tensor(1.9644)
59,tensor(2.2662)
59,tensor(1.1843)
60,tensor(2.7529)
60,tensor(2.6561)
61,tensor(2.4158)
61,tensor(2.4411)
62,tensor(1.2523)
62,tensor(16.0700)
63,tensor(1.8271)
63,tensor(6.6956)
64,tensor(1.6536)
64,tensor(2.9285)
65,tensor(2.1067)
65,tensor(7.1336)
66,tensor(2.1052)
66,tensor(3.9652)
67,tensor(1.0667)
67,tensor(5.0723)
68,tensor(2.2881)
68,tensor(1.4606)
69,tensor(3.1378)
69,tensor(3.1181)
70,tensor(3.2560)
70,tensor(2.6129)
71,tensor(2.8103)
71,tensor(2.4839)
72,tensor(2.5179)
72,tensor(2.0793)
73,tensor(1.6644)
73,tensor(1.3693)
74,tensor(1.3836)
74,tensor(1.5230)
75,tensor(1.5312)
75,tensor(2.0598)
76,tensor(1.2095)
76,tensor(1.7264)
77,tensor(1.5410)
77,tensor(2.2830)
78,tensor(1.2074)
78,tensor(1.9855)
79,tensor(1.5407)
79,tensor(1.2582)
80,tensor(1.4613)
80,tensor(1.1964)
81,tensor(1.4102)
81,tensor(2.3586)
82,tensor(2.7241)
82,tensor(3.2993)
83,tensor(1.4829)
83,tensor(2.9551)
84,tensor(1.1285)
84,tensor(1.9788)
85,tensor(2.0450)
85,tensor(0.9472)
86,tensor(2.2832)
86,tensor(1.8753)
87,tensor(1.0870)
